Sensor resistance (ohms) | -0.5 (0) (V) | Output (0) (V) | 0.5 (1) (V) | Output (1) (V)
138 | -0.5 | 1.38 | 0.5 | -1.38
139 | -0.5 | 1.39 | 0.5 | -1.39
140 | -0.5 | 1.40 | 0.5 | -1.40
141 | -0.5 | 1.41 | 0.5 | -1.41
142 | -0.5 | 1.42 | 0.5 | -1.42
143 | -0.5 | 1.43 | 0.5 | -1.43
144 | -0.5 | 1.44 | 0.5 | -1.44
145 | -0.5 | 1.45 | 0.5 | -1.45
146 | -0.5 | 1.46 | 0.5 | -1.46
147 | -0.5 | 1.47 | 0.5 | -1.47
148 | -0.5 | 1.48 | 0.5 | -1.48
149 | -0.5 | 1.49 | 0.5 | -1.49
150 | -0.5 | 1.50 | 0.5 | -1.50
151 | -0.5 | 1.51 | 0.5 | -1.51
152 | -0.5 | 1.52 | 0.5 | -1.52
153 | -0.5 | 1.53 | 0.5 | -1.53
154 | -0.5 | 1.54 | 0.5 | -1.54
155 | -0.5 | 1.55 | 0.5 | -1.55
156 | -0.5 | 1.56 | 0.5 | -1.56
157 | -0.5 | 1.57 | 0.5 | -1.57
158 | -0.5 | 1.58 | 0.5 | -1.58
159 | -0.5 | 1.59 | 0.5 | -1.59
160 | -0.5 | 1.60 | 0.5 | -1.60
161 | -0.5 | 1.61 | 0.5 | -1.61
162 | -0.5 | 1.62 | 0.5 | -1.62
163 | -0.5 | 1.63 | 0.5 | -1.63
164 | -0.5 | 1.64 | 0.5 | -1.64
165 | -0.5 | 1.65 | 0.5 | -1.65
166 | -0.5 | 1.66 | 0.5 | -1.66
167 | -0.5 | 1.67 | 0.5 | -1.67
168 | -0.5 | 1.68 | 0.5 | -1.68
169 | -0.5 | 1.69 | 0.5 | -1.69
170 | -0.5 | 1.70 | 0.5 | -1.70
171 | -0.5 | 1.71 | 0.5 | -1.71
172 | -0.5 | 1.72 | 0.5 | -1.72
173 | -0.5 | 1.73 | 0.5 | -1.73
174 | -0.5 | 1.74 | 0.5 | -1.74
175 | -0.5 | 1.75 | 0.5 | -1.75
176 | -0.5 | 1.76 | 0.5 | -1.76
177 | -0.5 | 1.77 | 0.5 | -1.77
178 | -0.5 | 1.78 | 0.5 | -1.78
179 | -0.5 | 1.79 | 0.5 | -1.79
180 | -0.5 | 1.80 | 0.5 | -1.80
181 | -0.5 | 1.81 | 0.5 | -1.81
182 | -0.5 | 1.82 | 0.5 | -1.82
183 | -0.5 | 1.83 | 0.5 | -1.83
184 | -0.5 | 1.84 | 0.5 | -1.84
185 | -0.5 | 1.85 | 0.5 | -1.85
186 | -0.5 | 1.86 | 0.5 | -1.86
187 | -0.5 | 1.87 | 0.5 | -1.87
188 | -0.5 | 1.88 | 0.5 | -1.88
189 | -0.5 | 1.89 | 0.5 | -1.89
190 | -0.5 | 1.90 | 0.5 | -1.90
191 | -0.5 | 1.91 | 0.5 | -1.91
192 | -0.5 | 1.92 | 0.5 | -1.92
193 | -0.5 | 1.93 | 0.5 | -1.93
194 | -0.5 | 1.94 | 0.5 | -1.94
195 | -0.5 | 1.95 | 0.5 | -1.95
196 | -0.5 | 1.96 | 0.5 | -1.96
197 | -0.5 | 1.97 | 0.5 | -1.97
198 | -0.5 | 1.98 | 0.5 | -1.98
199 | -0.5 | 1.99 | 0.5 | -1.99
200 | -0.5 | 2.00 | 0.5 | -2.00
201 | -0.5 | 2.01 | 0.5 | -2.01
202 | -0.5 | 2.02 | 0.5 | -2.02
203 | -0.5 | 2.03 | 0.5 | -2.03
204 | -0.5 | 2.04 | 0.5 | -2.04
205 | -0.5 | 2.05 | 0.5 | -2.05
206 | -0.5 | 2.06 | 0.5 | -2.06
207 | -0.5 | 2.07 | 0.5 | -2.07
208 | -0.5 | 2.08 | 0.5 | -2.08
209 | -0.5 | 2.09 | 0.5 | -2.09
210 | -0.5 | 2.10 | 0.5 | -2.10
211 | -0.5 | 2.11 | 0.5 | -2.11
212 | -0.5 | 2.12 | 0.5 | -2.12
213 | -0.5 | 2.13 | 0.5 | -2.13
214 | -0.5 | 2.14 | 0.5 | -2.14
215 | -0.5 | 2.15 | 0.5 | -2.15
216 | -0.5 | 2.16 | 0.5 | -2.16
217 | -0.5 | 2.17 | 0.5 | -2.17
218 | -0.5 | 2.18 | 0.5 | -2.18
219 | -0.5 | 2.19 | 0.5 | -2.19
220 | -0.5 | 2.20 | 0.5 | -2.20
221 | -0.5 | 2.21 | 0.5 | -2.21
222 | -0.5 | 2.22 | 0.5 | -2.22
223 | -0.5 | 2.23 | 0.5 | -2.23
224 | -0.5 | 2.24 | 0.5 | -2.24
225 | -0.5 | 2.25 | 0.5 | -2.25
226 | -0.5 | 2.26 | 0.5 | -2.26
227 | -0.5 | 2.27 | 0.5 | -2.27
228 | -0.5 | 2.28 | 0.5 | -2.28
229 | -0.5 | 2.29 | 0.5 | -2.29
230 | -0.5 | 2.30 | 0.5 | -2.30
231 | -0.5 | 2.31 | 0.5 | -2.31
232 | -0.5 | 2.32 | 0.5 | -2.32
233 | -0.5 | 2.33 | 0.5 | -2.33
234 | -0.5 | 2.34 | 0.5 | -2.34
235 | -0.5 | 2.35 | 0.5 | -2.35
236 | -0.5 | 2.36 | 0.5 | -2.36
237 | -0.5 | 2.37 | 0.5 | -2.37
238 | -0.5 | 2.38 | 0.5 | -2.38
239 | -0.5 | 2.39 | 0.5 | -2.39
240 | -0.5 | 2.40 | 0.5 | -2.40
241 | -0.5 | 2.41 | 0.5 | -2.41
242 | -0.5 | 2.42 | 0.5 | -2.42
243 | -0.5 | 2.43 | 0.5 | -2.43
244 | -0.5 | 2.44 | 0.5 | -2.44
245 | -0.5 | 2.45 | 0.5 | -2.45
246 | -0.5 | 2.46 | 0.5 | -2.46
247 | -0.5 | 2.47 | 0.5 | -2.47
248 | -0.5 | 2.48 | 0.5 | -2.48
249 | -0.5 | 2.49 | 0.5 | -2.49
250 | -0.5 | 2.50 | 0.5 | -2.50
251 | -0.5 | 2.51 | 0.5 | -2.51
252 | -0.5 | 2.52 | 0.5 | -2.52
253 | -0.5 | 2.53 | 0.5 | -2.53
254 | -0.5 | 2.54 | 0.5 | -2.54
255 | -0.5 | 2.55 | 0.5 | -2.55
256 | -0.5 | 2.56 | 0.5 | -2.56
257 | -0.5 | 2.57 | 0.5 | -2.57
258 | -0.5 | 2.58 | 0.5 | -2.58
259 | -0.5 | 2.59 | 0.5 | -2.59
260 | -0.5 | 2.60 | 0.5 | -2.60
